starttime	seconds	ctime	dtime	ttime	wait
Sun Feb 26 13:49:38 2017	1488138578	0	1370	1370	1
Sun Feb 26 13:49:38 2017	1488138578	0	1370	1371	1
Sun Feb 26 13:49:32 2017	1488138572	0	1370	1371	1
Sun Feb 26 13:49:40 2017	1488138580	0	1371	1371	1
Sun Feb 26 13:49:40 2017	1488138580	0	1372	1372	5
Sun Feb 26 13:49:37 2017	1488138577	0	1372	1373	1
Sun Feb 26 13:49:40 2017	1488138580	0	1372	1373	1
Sun Feb 26 13:49:38 2017	1488138578	0	1373	1374	0
Sun Feb 26 13:49:52 2017	1488138592	0	1374	1375	1
Sun Feb 26 13:49:40 2017	1488138580	0	1375	1375	1
Sun Feb 26 13:49:48 2017	1488138588	0	1376	1376	1
Sun Feb 26 13:49:48 2017	1488138588	1	1376	1376	2
Sun Feb 26 13:49:38 2017	1488138578	0	1376	1376	1
Sun Feb 26 13:49:40 2017	1488138580	0	1377	1377	1
Sun Feb 26 13:49:48 2017	1488138588	0	1376	1377	4
Sun Feb 26 13:49:30 2017	1488138570	0	1377	1377	1
Sun Feb 26 13:49:40 2017	1488138580	0	1378	1378	1
Sun Feb 26 13:49:51 2017	1488138591	0	1377	1378	0
Sun Feb 26 13:49:51 2017	1488138591	0	1378	1378	1
Sun Feb 26 13:49:40 2017	1488138580	0	1378	1378	1
Sun Feb 26 13:49:40 2017	1488138580	1	1378	1378	2
Sun Feb 26 13:49:40 2017	1488138580	0	1379	1379	1
Sun Feb 26 13:48:58 2017	1488138538	0	1379	1379	2
Sun Feb 26 13:49:47 2017	1488138587	1	1379	1379	0
Sun Feb 26 13:49:48 2017	1488138588	1	1379	1380	1
Sun Feb 26 13:49:47 2017	1488138587	0	1380	1380	1
Sun Feb 26 13:49:48 2017	1488138588	0	1380	1380	1
Sun Feb 26 13:49:49 2017	1488138589	0	1380	1380	3
Sun Feb 26 13:49:51 2017	1488138591	0	1380	1380	1
Sun Feb 26 13:49:37 2017	1488138577	2	1379	1380	0
