starttime	seconds	ctime	dtime	ttime	wait
Sun Feb 26 13:49:28 2017	1488138568	0	1292	1292	1
Sun Feb 26 13:48:59 2017	1488138539	0	1292	1293	1
Sun Feb 26 13:49:31 2017	1488138571	0	1293	1293	1
Sun Feb 26 13:49:23 2017	1488138563	1	1292	1293	1
Sun Feb 26 13:49:28 2017	1488138568	0	1293	1293	1
Sun Feb 26 13:49:09 2017	1488138549	0	1293	1293	1
Sun Feb 26 13:49:15 2017	1488138555	0	1293	1294	1
Sun Feb 26 13:49:22 2017	1488138562	0	1293	1294	1
Sun Feb 26 13:49:22 2017	1488138562	0	1294	1294	0
Sun Feb 26 13:49:14 2017	1488138554	0	1293	1294	1
Sun Feb 26 13:49:43 2017	1488138583	0	1294	1294	2
Sun Feb 26 13:49:24 2017	1488138564	0	1294	1294	1
Sun Feb 26 13:49:15 2017	1488138555	0	1294	1294	0
Sun Feb 26 13:49:43 2017	1488138583	0	1294	1294	1
Sun Feb 26 13:49:16 2017	1488138556	0	1294	1294	1
Sun Feb 26 13:49:04 2017	1488138544	0	1294	1294	1
Sun Feb 26 13:49:28 2017	1488138568	0	1294	1294	1
Sun Feb 26 13:49:26 2017	1488138566	0	1294	1295	1
Sun Feb 26 13:49:31 2017	1488138571	0	1294	1295	1
Sun Feb 26 13:49:34 2017	1488138574	0	1295	1295	0
Sun Feb 26 13:49:17 2017	1488138557	0	1295	1295	1
Sun Feb 26 13:49:21 2017	1488138561	0	1295	1296	1
Sun Feb 26 13:49:21 2017	1488138561	1	1295	1296	1
Sun Feb 26 13:49:05 2017	1488138545	0	1296	1296	1
Sun Feb 26 13:49:21 2017	1488138561	0	1296	1296	0
Sun Feb 26 13:49:11 2017	1488138551	0	1296	1297	1
Sun Feb 26 13:49:24 2017	1488138564	0	1297	1297	1
Sun Feb 26 13:49:20 2017	1488138560	0	1297	1297	1
Sun Feb 26 13:49:07 2017	1488138547	1	1296	1297	1
Sun Feb 26 13:49:31 2017	1488138571	0	1297	1297	0
Sun Feb 26 13:49:06 2017	1488138546	0	1297	1297	1
Sun Feb 26 13:49:21 2017	1488138561	0	1297	1297	1
Sun Feb 26 13:49:34 2017	1488138574	0	1297	1298	1
Sun Feb 26 13:49:09 2017	1488138549	0	1297	1298	2
Sun Feb 26 13:49:18 2017	1488138558	0	1298	1298	0
Sun Feb 26 13:49:34 2017	1488138574	1	1298	1299	3
Sun Feb 26 13:49:00 2017	1488138540	0	1299	1299	2
Sun Feb 26 13:49:31 2017	1488138571	0	1299	1299	0
Sun Feb 26 13:49:22 2017	1488138562	0	1299	1299	1
Sun Feb 26 13:49:17 2017	1488138557	0	1300	1300	1
Sun Feb 26 13:49:06 2017	1488138546	0	1300	1300	1
Sun Feb 26 13:49:22 2017	1488138562	0	1300	1300	1
Sun Feb 26 13:49:11 2017	1488138551	0	1300	1301	1
Sun Feb 26 13:49:53 2017	1488138593	0	1301	1301	1
Sun Feb 26 13:49:43 2017	1488138583	0	1301	1301	1
Sun Feb 26 13:49:43 2017	1488138583	0	1301	1301	0
Sun Feb 26 13:49:16 2017	1488138556	0	1301	1302	1
Sun Feb 26 13:49:14 2017	1488138554	0	1301	1302	1
Sun Feb 26 13:49:27 2017	1488138567	0	1302	1302	1
Sun Feb 26 13:49:07 2017	1488138547	1	1301	1302	59
Sun Feb 26 13:49:26 2017	1488138566	1	1301	1302	0
Sun Feb 26 13:48:58 2017	1488138538	0	1302	1302	2
Sun Feb 26 13:49:05 2017	1488138545	0	1302	1302	1
Sun Feb 26 13:49:28 2017	1488138568	0	1303	1303	1
Sun Feb 26 13:49:24 2017	1488138564	1	1302	1303	1
Sun Feb 26 13:49:43 2017	1488138583	0	1303	1303	1
Sun Feb 26 13:49:34 2017	1488138574	2	1301	1303	0
Sun Feb 26 13:49:09 2017	1488138549	0	1303	1304	1
Sun Feb 26 13:49:09 2017	1488138549	0	1303	1304	1
Sun Feb 26 13:49:05 2017	1488138545	1	1303	1304	1
Sun Feb 26 13:49:23 2017	1488138563	0	1304	1304	2
Sun Feb 26 13:48:58 2017	1488138538	0	1304	1304	1
Sun Feb 26 13:49:08 2017	1488138548	0	1304	1304	1
Sun Feb 26 13:49:43 2017	1488138583	0	1304	1305	2
Sun Feb 26 13:49:09 2017	1488138549	1	1304	1305	1
Sun Feb 26 13:49:30 2017	1488138570	0	1305	1305	0
Sun Feb 26 13:49:16 2017	1488138556	0	1305	1305	1
Sun Feb 26 13:49:05 2017	1488138545	0	1305	1306	1
Sun Feb 26 13:49:07 2017	1488138547	0	1306	1306	1
Sun Feb 26 13:49:08 2017	1488138548	0	1306	1306	1
Sun Feb 26 13:49:35 2017	1488138575	1	1305	1306	0
Sun Feb 26 13:48:58 2017	1488138538	0	1307	1307	0
Sun Feb 26 13:49:17 2017	1488138557	0	1307	1308	0
Sun Feb 26 13:49:27 2017	1488138567	1	1307	1308	2
Sun Feb 26 13:49:22 2017	1488138562	0	1308	1308	1
Sun Feb 26 13:49:43 2017	1488138583	0	1308	1309	1
Sun Feb 26 13:49:27 2017	1488138567	0	1309	1309	1
Sun Feb 26 13:49:31 2017	1488138571	0	1309	1309	1
Sun Feb 26 13:49:43 2017	1488138583	0	1309	1310	1
Sun Feb 26 13:49:35 2017	1488138575	0	1309	1310	1
Sun Feb 26 13:49:35 2017	1488138575	0	1309	1310	1
Sun Feb 26 13:49:28 2017	1488138568	0	1310	1310	1
Sun Feb 26 13:49:17 2017	1488138557	0	1310	1310	1
Sun Feb 26 13:49:17 2017	1488138557	1	1310	1310	1
Sun Feb 26 13:49:26 2017	1488138566	1	1309	1311	1
Sun Feb 26 13:49:43 2017	1488138583	1	1310	1311	0
Sun Feb 26 13:49:30 2017	1488138570	1	1310	1311	0
Sun Feb 26 13:49:28 2017	1488138568	0	1311	1311	0
Sun Feb 26 13:49:17 2017	1488138557	0	1311	1311	1
Sun Feb 26 13:49:20 2017	1488138560	0	1311	1311	2
Sun Feb 26 13:49:17 2017	1488138557	0	1311	1311	1
Sun Feb 26 13:49:17 2017	1488138557	0	1311	1311	1
Sun Feb 26 13:49:09 2017	1488138549	0	1311	1311	1
Sun Feb 26 13:49:31 2017	1488138571	0	1311	1311	1
Sun Feb 26 13:49:05 2017	1488138545	0	1311	1312	1
Sun Feb 26 13:49:32 2017	1488138572	0	1312	1312	1
Sun Feb 26 13:49:16 2017	1488138556	0	1312	1312	1
Sun Feb 26 13:49:32 2017	1488138572	0	1312	1313	0
Sun Feb 26 13:49:05 2017	1488138545	0	1313	1313	1
Sun Feb 26 13:49:43 2017	1488138583	0	1313	1313	0
Sun Feb 26 13:49:32 2017	1488138572	0	1313	1313	1
Sun Feb 26 13:49:17 2017	1488138557	0	1313	1313	2
Sun Feb 26 13:49:17 2017	1488138557	0	1313	1313	1
Sun Feb 26 13:49:42 2017	1488138582	0	1313	1313	1
Sun Feb 26 13:49:33 2017	1488138573	1	1313	1314	3
Sun Feb 26 13:49:34 2017	1488138574	0	1313	1314	1
Sun Feb 26 13:49:28 2017	1488138568	0	1314	1314	1
Sun Feb 26 13:49:27 2017	1488138567	1	1313	1314	1
Sun Feb 26 13:49:35 2017	1488138575	0	1313	1314	2
Sun Feb 26 13:49:16 2017	1488138556	1	1313	1314	1
Sun Feb 26 13:49:17 2017	1488138557	1	1313	1314	0
Sun Feb 26 13:49:42 2017	1488138582	0	1314	1314	1
Sun Feb 26 13:49:42 2017	1488138582	1	1314	1314	1
Sun Feb 26 13:49:33 2017	1488138573	0	1314	1314	2
Sun Feb 26 13:49:36 2017	1488138576	0	1314	1314	1
Sun Feb 26 13:49:32 2017	1488138572	0	1315	1315	1
Sun Feb 26 13:49:26 2017	1488138566	0	1315	1315	1
Sun Feb 26 13:49:27 2017	1488138567	0	1315	1315	0
Sun Feb 26 13:49:35 2017	1488138575	2	1314	1315	1
Sun Feb 26 13:49:08 2017	1488138548	1	1314	1315	29
Sun Feb 26 13:49:42 2017	1488138582	1	1315	1316	1
Sun Feb 26 13:49:09 2017	1488138549	0	1316	1316	1
Sun Feb 26 13:49:26 2017	1488138566	0	1316	1316	1
Sun Feb 26 13:49:35 2017	1488138575	0	1316	1316	0
Sun Feb 26 13:49:43 2017	1488138583	0	1316	1317	1
Sun Feb 26 13:49:20 2017	1488138560	0	1316	1317	1
Sun Feb 26 13:49:31 2017	1488138571	1	1316	1317	2
Sun Feb 26 13:49:32 2017	1488138572	0	1317	1317	1
Sun Feb 26 13:49:14 2017	1488138554	0	1317	1318	1
Sun Feb 26 13:49:46 2017	1488138586	0	1317	1318	1
Sun Feb 26 13:49:26 2017	1488138566	0	1317	1318	1
Sun Feb 26 13:49:42 2017	1488138582	0	1317	1318	1
Sun Feb 26 13:49:33 2017	1488138573	1	1317	1318	1
Sun Feb 26 13:49:35 2017	1488138575	2	1317	1318	1
Sun Feb 26 13:49:39 2017	1488138579	0	1318	1318	1
Sun Feb 26 13:49:09 2017	1488138549	0	1318	1318	1
Sun Feb 26 13:49:05 2017	1488138545	1	1318	1319	1
Sun Feb 26 13:49:17 2017	1488138557	1	1317	1319	1
Sun Feb 26 13:49:33 2017	1488138573	0	1318	1319	1
Sun Feb 26 13:49:35 2017	1488138575	0	1319	1319	0
